ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000004766,0.000001668
8,0.000005063,0.000001016
16,0.000018147,0.000005544
32,0.000079789,0.000047283
64,0.000536377,0.000377839
128,0.003133440,0.002571375
256,0.021621203,0.019551187
512,0.149181085,0.141617177
1024,1.107366343,1.078211732
2048,8.666393523,8.554470353
4096,68.633484659,68.183107685
